"","kgf","s","nome"
"1",5,5,"BAT1"
"2",0.0303,0,"BAT1"
"3",0.0303,0.1,"BAT1"
"4",0.0303,0.2,"BAT1"
"5",0.0303,0.3,"BAT1"
"6",0.0303,0.4,"BAT1"
"7",0.0303,0.5,"BAT1"
"8",0.0303,0.6,"BAT1"
"9",0.0303,0.7,"BAT1"
"10",0.0303,0.8,"BAT1"
"11",0.0303,0.9,"BAT1"
"12",0.0303,1,"BAT1"
"13",0.0303,1.1,"BAT1"
"14",0.0303,1.2,"BAT1"
"15",0.0303,1.3,"BAT1"
"16",0.0303,1.4,"BAT1"
"17",0.0303,1.5,"BAT1"
"18",0.0303,1.6,"BAT1"
"19",0.0303,1.7,"BAT1"
"20",0.0303,1.8,"BAT1"
"21",0.0303,1.9,"BAT1"
"22",0.0303,2,"BAT1"
"23",0.0303,2.1,"BAT1"
"24",0.0303,2.2,"BAT1"
"25",0.0303,2.3,"BAT1"
"26",0.0303,2.4,"BAT1"
"27",0.0303,2.5,"BAT1"
"28",0.0303,2.6,"BAT1"
"29",0.0303,2.7,"BAT1"
"30",0.0303,2.8,"BAT1"
"31",0.0303,2.9,"BAT1"
"32",0.0303,3,"BAT1"
"33",0.0303,3.1,"BAT1"
"34",0.0303,3.2,"BAT1"
"35",0.0303,3.3,"BAT1"
"36",0.0303,3.4,"BAT1"
"37",0.0303,3.5,"BAT1"
"38",0.0303,3.6,"BAT1"
"39",0.0303,3.7,"BAT1"
"40",0.0303,3.8,"BAT1"
"41",0.0303,3.9,"BAT1"
"42",0.0303,4,"BAT1"
"43",0.0303,4.1,"BAT1"
"44",0.0303,4.2,"BAT1"
"45",0.0303,4.3,"BAT1"
"46",0.0303,4.4,"BAT1"
"47",0.0303,4.5,"BAT1"
"48",0.0303,4.6,"BAT1"
"49",0.0303,4.7,"BAT1"
"50",0.0303,4.8,"BAT1"
"51",0.0303,4.9,"BAT1"
"52",0.0303,5,"BAT1"
"53",0.0303,5.1,"BAT1"
"54",0.0303,5.2,"BAT1"
